app name,apple,andriod
Super Mario Run,https://apps.apple.com/us/app/super-mario-run/id1145275343,https://play.google.com/store/apps/details?id=com.nintendo.zara
Rainbow Six Mobile,,https://play.google.com/store/apps/details?id=com.ubisoft.rainbowsixmobile.r6.fps.pvp.shooter
Onmyoji Arena,https://apps.apple.com/us/app/onmyoji-arena/id1343073274,https://play.google.com/store/apps/details?id=com.netease.g78na.gb
GUNDAM BREAKER MOBILE,https://apps.apple.com/us/app/gundam-breaker-mobile/id1456221942,https://play.google.com/store/apps/details?id=com.bandainamcoent.gb_en
GameSir,,https://play.google.com/store/apps/details?id=com.xiaoji.xtouch.google
NBC Sports,https://apps.apple.com/us/app/nbc-sports/id542511686,https://play.google.com/store/apps/details?id=air.com.nbcuni.com.nbcsports.liveextra&hl=en_US&gl=US
Fallout Shelter,https://apps.apple.com/us/app/fallout-shelter/id991153141,https://play.google.com/store/apps/details?id=com.bethsoft.falloutshelter
Razer Kishi,,https://play.google.com/store/apps/details?id=com.razer.mobilegamepad.en
Seven Knights,https://apps.apple.com/us/app/seven-knights/id970818035,https://play.google.com/store/apps/details?id=com.netmarble.sknightsgb
Max Payne Mobile,https://apps.apple.com/us/app/max-payne-mobile/id512142109,https://play.google.com/store/apps/details?id=com.rockstar.maxpayne
ASDA Rewards,https://apps.apple.com/gb/app/asda-rewards/id1578902078,https://play.google.com/store/apps/details?id=com.asda.rewards
Vinted: Buy & sell preloved,https://apps.apple.com/gb/app/vinted-buy-and-sell-preloved/id632064380,https://play.google.com/store/apps/details?id=fr.vinted&hl=en_GB&gl=US
BBC iPlayer,https://apps.apple.com/gb/app/bbc-iplayer/id416580485,https://play.google.com/store/apps/details?id=bbc.iplayer.android&hl=en_GB&gl=US
BBC Sounds: Radio & Podcasts,https://apps.apple.com/gb/app/bbc-sounds/id1380676511,https://play.google.com/store/apps/details?id=com.bbc.sounds&hl=en_GB&gl=US
"Bolt: Fast, Affordable Rides",https://apps.apple.com/gb/app/bolt-fast-affordable-rides/id675033630,https://play.google.com/store/apps/details?id=ee.mtakso.client&hl=en_GB&gl=US
Lidl Plus,https://apps.apple.com/gb/app/lidl-plus/id1238611143,https://play.google.com/store/apps/details?id=com.lidl.eci.lidlplus&hl=en_GB&gl=US
Locanto - Classifieds App,,https://play.google.com/store/apps/details?id=de.yalwa.locanto&hl=en_GB&gl=US
Halifax Mobile Banking,https://apps.apple.com/gb/app/halifax-mobile-banking/id486355738,https://play.google.com/store/apps/details?id=com.grppl.android.shell.halifax
Tesco Grocery & Clubcard,https://apps.apple.com/gb/app/tesco-grocery-clubcard/id389581236,https://play.google.com/store/apps/details?id=com.tesco.grocery.view
Barclays,https://apps.apple.com/gb/app/barclays/id536248734,https://play.google.com/store/apps/details?id=com.barclays.android.barclaysmobilebanking
Nationwide Banking App,https://apps.apple.com/gb/app/nationwide-mobile-banking/id542355130,https://play.google.com/store/apps/details?id=co.uk.Nationwide.Mobile
Lloyds Bank Mobile Banking,https://apps.apple.com/gb/app/lloyds-bank-mobile-banking/id469964520,https://play.google.com/store/apps/details?id=com.grppl.android.shell.CMBlloydsTSB73
Warframe Companion,https://apps.apple.com/us/app/warframe-companion/id698910075,https://play.google.com/store/apps/details?id=com.digitalextremes.warframenexus
Money Manager Expense & Budget,https://apps.apple.com/us/app/money-manager-expense-budget/id560481810,https://play.google.com/store/apps/details?id=com.realbyteapps.moneymanagerfree
Mint: Budget & Expense Manager,https://apps.apple.com/us/app/mint-budget-expense-manager/id300238550,https://play.google.com/store/apps/details?id=com.mint
Impulse - Brain Training,https://apps.apple.com/us/app/impulse-brain-training/id1451295827,https://play.google.com/store/apps/details?id=com.orangemuffin.impulse
Snap Loan Manager,https://apps.apple.com/us/app/snap-loan-manager/id1572887149,https://play.google.com/store/apps/details?id=com.appster.payix.snapfinance
Goalsetter: Invest & Bank,https://apps.apple.com/us/app/goalsetter-invest-bank/id1440624866,https://play.google.com/store/apps/details?id=com.goalsetter
FitOn Workouts & Fitness Plans,https://apps.apple.com/us/app/fiton-workouts-fitness-plans/id1442473191,https://play.google.com/store/apps/details?id=com.fiton.android
iFIT At-Home Workout & Fitness,https://apps.apple.com/us/app/ifit-at-home-workout-fitness/id1274601042,https://play.google.com/store/apps/details?id=com.veryfit2hr.second
Fitbod Workout & Fitness Plans,https://apps.apple.com/us/app/fitbod-workout-fitness-plans/id1041517543,https://play.google.com/store/apps/details?id=com.fitbod.fitbod
Apple TV,https://apps.apple.com/us/app/apple-tv/id1174078549,https://play.google.com/store/apps/details?id=com.apple.atve.sony.appletv&hl=en_US&gl=US
CIBC Mobile Banking?,https://apps.apple.com/ca/app/cibc-mobile-banking/id351448953,https://play.google.com/store/apps/details?id=com.cibc.android.mobi
RBC Mobile,https://apps.apple.com/us/app/rbc-mobile/id407597290,https://play.google.com/store/apps/details?id=com.rbc.mobile.android
Sticky Notes + Widget,,https://play.google.com/store/apps/details?id=com.symcoding.widget.stickynotes&hl=en_US&gl=US
Notes,https://apps.apple.com/us/app/notes/id1110145109,https://play.google.com/store/apps/details?id=com.edi.masaki.mymemoapp&hl=en_US&gl=US
FaceTime,https://apps.apple.com/us/app/facetime/id1110145091,
iTunes Store,https://apps.apple.com/us/app/itunes-store/id915061235,
Nextiva App,https://apps.apple.com/us/app/nextiva-app/id738802901,https://play.google.com/store/apps/details?id=com.nextiva.nextivaapp.android&hl=en_US&gl=US
Hotstar,https://apps.apple.com/in/app/hotstar-live-cricket-movies/id934459219,https://play.google.com/store/apps/details?id=in.startv.hotstar&hl=en_US&gl=US
RingGo Parking: Park & Pay,https://apps.apple.com/us/app/ringgo-parking-park-pay/id342898717,https://play.google.com/store/apps/details?id=co.uk.ringgo.android&hl=en_US&gl=US
PayByPhone,https://apps.apple.com/us/app/paybyphone-parking/id448474183,https://play.google.com/store/apps/details?id=com.paybyphone&hl=en_US&gl=US
My Virtual Mission,https://apps.apple.com/us/app/my-virtual-mission/id662435493,https://play.google.com/store/apps/details?id=com.myvirtualmission.android
