app name,apple,andriod
War Robots Multiplayer Battles,https://apps.apple.com/us/app/war-robots-multiplayer-battles/id806077016,https://play.google.com/store/apps/details?id=com.pixonic.wwr
Swamp Attack,https://apps.apple.com/us/app/swamp-attack/id718153412,https://play.google.com/store/apps/details?id=com.outfit7.movingeye.swampattack
"Mingle2: Dating, Chat & Meet",https://apps.apple.com/us/app/mingle2-dating-meet-people/id1265035248,https://play.google.com/store/apps/details?id=mingle.android.mingle2
Raya,https://apps.apple.com/us/app/raya/id957215308,
AsianDate: Asian Dating & Chat,,https://play.google.com/store/apps/details?id=com.asiandate
OurTime - Meet 50+ Singles,https://apps.apple.com/us/app/ourtime-meet-50-singles/id1009499048,https://play.google.com/store/apps/details?id=com.peoplemedia.ourtime
"Bicupid: Singles, Couples Date",https://apps.apple.com/us/app/bc-bisexual-lgbt-dating-app/id1481809362,https://play.google.com/store/apps/details?id=com.bi.bicupid
Millionaire Match: Rich Dating,https://apps.apple.com/us/app/mm-elite-dating-app/id1484587490,https://play.google.com/store/apps/details?id=com.millionairedating.millionairematch
Adam4Adam - Gay Chat & Dating,https://apps.apple.com/us/app/adam4adam-gay-dating-chat-a4a/id440185993,https://play.google.com/store/apps/details?id=com.adam4adam.radar2.ui
Piano Tiles,https://apps.apple.com/us/app/piano-tiles/id848160327,https://play.google.com/store/apps/details?id=com.kury.pianotiles2
"Tumblr—Fandom, Art, Chaos",https://apps.apple.com/us/app/tumblr-fandom-art-chaos/id305343404,https://play.google.com/store/apps/details?id=com.tumblr
Transit: Bus & Subway Times,https://apps.apple.com/us/app/transit-subway-bus-times/id498151501,https://play.google.com/store/apps/details?id=com.thetransitapp.droid
Google Maps,https://apps.apple.com/us/app/google-maps/id585027354,https://play.google.com/store/apps/details?id=com.google.android.apps.maps&hl=en_US&gl=US
Google Street View,https://apps.apple.com/us/app/google-street-view/id904418768,https://play.google.com/store/apps/details?id=com.google.android.street
friday night funkin,https://apps.apple.com/us/app/friday-night-funkin-music-fans/id1556674520,https://play.google.com/store/apps/details?id=com.sairam.fnfgame&hl=en_US&gl=US
AnyDesk Remote Desktop,https://apps.apple.com/us/app/anydesk-remote-desktop/id1176131273,https://play.google.com/store/apps/details?id=com.anydesk.anydeskandroid&hl=en_US&gl=US
Grand Theft Auto V: The Manual,https://apps.apple.com/us/app/grand-theft-auto-v-the-manual/id699032795,https://play.google.com/store/apps/details?id=com.rockstargames.gtavmanual&hl=en_US&gl=US
DuckDuckGo,https://apps.apple.com/us/app/duckduckgo-privacy-browser/id663592361,https://play.google.com/store/apps/details?id=com.duckduckgo.mobile.android&hl=en_US&gl=US
Tor Browser,https://apps.apple.com/us/app/tor-browser-onion-tor-vpn/id1317691373,https://play.google.com/store/apps/details?id=org.torproject.torbrowser&hl=en_US&gl=US
Opera GX: Gaming Browser,https://apps.apple.com/us/app/opera-gx/id1559740799,https://play.google.com/store/apps/details?id=com.opera.gx&hl=en_US&gl=US
Link to Windows,,https://play.google.com/store/apps/details?id=com.microsoft.appmanager&hl=en_US&gl=US
